region_code,region_name,region_level,country_name,hemisphere,continent,europe_analysis,note
AT,Austria,0,Austria,n,Europe,1,
AU,Australia,0,Australia,s,Oceania,0,
BE,Belgium,0,Belgium,n,Europe,1,
BG,Bulgaria,0,Bulgaria,n,Europe,0,series too short
CA,Canada,0,Canada,n,North America,0,
CH,Switzerland,0,Switzerland,n,Europe,1,
CL,Chile,0,Chile,s,South America,0,
CZ,Czech Republic,0,Czech Republic,n,Europe,1,
DE,Germany,0,Germany,n,Europe,0,series too short
DK,Denmark,0,Denmark,n,Europe,1,
EE,Estonia,0,Estonia,n,Europe,0,population too small
ES,Spain,0,Spain,n,Europe,1,
FI,Finland,0,Finland,n,Europe,1,
FR,France,0,France,n,Europe,1,
GB-EAW,England and Wales,1,Great Britain,n,Europe,0,series too short
GB-NIR,Northern Ireland,1,Great Britain,n,Europe,0,series too short
GB-SCT,Scotland,1,Great Britain,n,Europe,1,
GR,Greece,0,Greece,n,Europe,0,series too short
HR,Croatia,0,Croatia,n,Europe,1,
HU,Hungary,0,Hungary,n,Europe,1,
IL,Israel,0,Israel,n,Asia,0,
IS,Iceland,0,Iceland,n,Europe,0,population too small
IT,Italy,0,Italy,n,Europe,0,series too short
KR,South Korea,0,South Korea,n,Asia,0,
LT,Lithuania,0,Lithuania,n,Europe,1,
LU,Luxembourg,0,Luxembourg,n,Europe,0,population too small
LV,Latvia,0,Latvia,n,Europe,1,
NL,Netherlands,0,Netherlands,n,Europe,1,
NO,Norway,0,Norway,n,Europe,1,
NZ,New Zealand,0,New Zealand,s,Oceania,0,
PL,Poland,0,Poland,n,Europe,1,
PT,Portugal,0,Portugal,n,Europe,1,
RU,Russia,0,Russia,n,Asia,0,
SE,Sweden,0,Sweden,n,Europe,1,
SI,Slovenia,0,Slovenia,n,Europe,1,
SK,Slovakia,0,Slovakia,n,Europe,1,
TW,Taiwan ,0,Taiwan ,n,Asia,0,
US,USA,0,USA,n,North America,0,
